Program,Processes,Time_Seconds,Speedup,Efficiency
q1_ring_comm,1,.170366141,1.0,100.0
q2_array_sum,1,.212987796,1.0,100.0
q3_max_min,1,.168611964,1.0,100.0
q4_dot_product,1,.156534976,1.0,100.0
q1_ring_comm,2,.171284854,.994,40.0
q1_ring_comm,4,.194409958,.876,20.0
q1_ring_comm,8,.335889049,.507,0
q2_array_sum,2,.177304270,1.201,60.0
q2_array_sum,4,.215710450,.987,20.0
q2_array_sum,8,.324231441,.656,0
q3_max_min,2,.181640468,.928,40.0
q3_max_min,4,.227147931,.742,10.0
q3_max_min,8,.331216115,.509,0
q4_dot_product,2,.187207538,.836,40.0
q4_dot_product,4,.208698180,.750,10.0
q4_dot_product,8,.339488202,.461,0
