question,method,processes,time_seconds,speedup,efficiency,notes
Q1,DAXPY,1,0.00248507,0.0287118,2.87118,serial_vs_parallel
Q1,DAXPY,2,0.00353969,0.599334,59.9334,serial_vs_parallel
Q1,DAXPY,4,0.000187576,0.376807,37.6807,serial_vs_parallel
Q1,DAXPY,8,0.000200922,0.352376,35.2376,serial_vs_parallel
Q2,MyBcast,2,1.232e-06,NA,NA,my_over_mpi=0.719206
Q2,MPI_Bcast,2,1.713e-06,NA,NA,my_over_mpi=0.719206
Q2,MyBcast,4,1.493e-06,NA,NA,my_over_mpi=1.4342
Q2,MPI_Bcast,4,1.041e-06,NA,NA,my_over_mpi=1.4342
Q2,MyBcast,8,2.013e-06,NA,NA,my_over_mpi=1.32173
Q2,MPI_Bcast,8,1.523e-06,NA,NA,my_over_mpi=1.32173
Q2,MyBcast,16,1.462e-06,NA,NA,my_over_mpi=1.45908
Q2,MPI_Bcast,16,1.002e-06,NA,NA,my_over_mpi=1.45908
Q3,DotProduct,1,0.859795,1.0,100.0,multiplier=1.0
Q3,DotProduct,2,0.903882,0.951225,47.561250,multiplier=1.0
Q3,DotProduct,4,0.858714,1.001259,25.031475,multiplier=1.0
Q3,DotProduct,8,2.18614,0.393294,4.916175,multiplier=1.0
Q4,MasterSlavePrimes,4,0.581692,NA,NA,max=1000
Q5,MasterSlavePerfect,4,0.473996,NA,NA,max=10000
